property_id,check_in_date,room_category,successful_bookings,capacity,occupancy_rate,ADR,RevPAR,date,week no,adr_wow_change %,revpar_wow_change %,Realisation %,Realisation WoW change %,realisation_wow_change %,sellable_rooms,DSRN,DSRN WoW change %
16559,2022-05-01,RT1,25,30,0.83,9456.0,7880.0,2022-05-01,W 19,0.0,0.0,0.83,0.0,0.0,0.25,6.25,0.0
19562,2022-05-01,RT1,28,30,0.93,9456.0,8825.6,2022-05-01,W 19,0.0,0.0,0.93,0.0,0.0,0.28,7.84,0.0
19563,2022-05-01,RT1,23,30,0.77,9456.0,7249.6,2022-05-01,W 19,0.0,0.0,0.77,0.0,0.0,0.23,5.29,0.0
17558,2022-05-01,RT1,13,19,0.68,9456.0,6469.89,2022-05-01,W 19,0.0,0.0,0.68,0.0,0.0,0.13,1.69,0.0
16558,2022-05-01,RT1,18,19,0.95,9456.0,8958.31,2022-05-01,W 19,0.0,0.0,0.95,0.0,0.0,0.18,3.24,0.0
17560,2022-05-01,RT1,28,40,0.7,9456.0,6619.2,2022-05-01,W 19,0.0,0.0,0.7,0.0,0.0,0.28,7.84,0.0
19558,2022-05-01,RT1,25,40,0.62,9456.0,5910.0,2022-05-01,W 19,0.0,0.0,0.62,0.0,0.0,0.25,6.25,0.0
19560,2022-05-01,RT1,23,26,0.88,9456.0,8364.92,2022-05-01,W 19,0.0,0.0,0.88,0.0,0.0,0.23,5.29,0.0
17561,2022-05-01,RT1,22,26,0.85,9456.0,8001.23,2022-05-01,W 19,0.0,0.0,0.85,0.0,0.0,0.22,4.84,0.0
16560,2022-05-01,RT1,24,34,0.71,9456.0,6674.82,2022-05-01,W 19,0.0,0.0,0.71,0.0,0.0,0.24,5.76,0.0
16561,2022-05-01,RT1,16,18,0.89,9456.0,8405.33,2022-05-01,W 19,0.0,0.0,0.89,0.0,0.0,0.16,2.56,0.0
16562,2022-05-01,RT1,20,31,0.65,9456.0,6100.64,2022-05-01,W 19,0.0,0.0,0.65,0.0,0.0,0.2,4.0,0.0
16563,2022-05-01,RT1,36,41,0.88,9456.0,8302.83,2022-05-01,W 19,0.0,0.0,0.88,0.0,0.0,0.36,12.96,0.0
17559,2022-05-01,RT1,26,32,0.81,9456.0,7683.0,2022-05-01,W 19,0.0,0.0,0.81,0.0,0.0,0.26,6.76,0.0
17562,2022-05-01,RT1,12,20,0.6,9456.0,5673.6,2022-05-01,W 19,0.0,0.0,0.6,0.0,0.0,0.12,1.44,0.0
17563,2022-05-01,RT1,21,25,0.84,9456.0,7943.04,2022-05-01,W 19,0.0,0.0,0.84,0.0,0.0,0.21,4.41,0.0
